plant name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,,Synthetic Accessibility
aconitum heterophyllum,Atisine,C=C1[C@H]2CC[C@@]3([C@@H]1O)[C@@H](C2)[C@@]12CCC[C@]([C@H]2CC3)(CN2[C@@H]1OCC2)C,C22H33NO2,343.5,25,0,0.91,0,3,1,102.99,32.7,3.52,3.59,3.2,3.9,3.19,3.48,-4.23,2.02E-02,5.87E-05,Moderately soluble,-3.96,3.74E-02,1.09E-04,Soluble,-3.47,1.16E-01,3.37E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-5.85,0,0,0,0,0,0.55,0,1,1,6.15,
aconitum heterophyllum,Heteratisine,CO[C@H]1CC[C@@]2([C@@H]3[C@]41[C@H](N(C2)CC)[C@H]([C@@H]3O)[C@]1([C@@H]2[C@H]4C[C@H](CC1)OC2=O)O)C,C22H33NO5,391.5,28,0,0.95,2,6,2,106.21,79.23,3.03,1.09,0.8,1.81,1.24,1.6,-2.82,5.90E-01,1.51E-03,Soluble,-2.35,1.76E+00,4.51E-03,Soluble,-2.03,3.62E+00,9.25E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.91,0,0,0,0,0,0.55,0,0,1,6.01,
aconitum heterophyllum,Hetisine,O[C@H]1C[C@@]2(C)CN3[C@H]4[C@@]5(C1)[C@@H]2[C@@H]3C[C@]12[C@@H]5[C@H](O)[C@H]([C@@H]([C@H]41)O)C(=C)C2,C20H27NO3,329.43,24,0,0.9,0,4,3,92.5,63.93,3.03,1.09,0.38,1.81,1.24,1.6,-2.82,5.90E-01,1.51E-03,Soluble,-2.35,1.76E+00,4.51E-03,Soluble,-2.03,3.62E+00,9.25E-03,Soluble,High,No,Yes,No,No,No,No,No,-7.91,0,0,0,0,0,0.55,0,0,1,6.01,
aconitum heterophyllum,Hetisinone,O=C1C[C@]2(C)CN3[C@H]4[C@@]5(C1)[C@@H]2[C@@H]3C[C@]12[C@H]5[C@@H](O)[C@H]([C@H]([C@H]41)O)C(=C)C2,C20H25NO3,327.42,24,0,0.85,0,4,2,91.54,60.77,0,0.05,0.59,2.09,1.49,0.84,-1.9,4.11E+00,1.25E-02,Very soluble,-0.88,4.32E+01,1.32E-01,Very soluble,-1.8,5.21E+00,1.59E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.26,0,0,0,0,0,0.55,0,1,0,5.79,
aconitum heterophyllum,Atidine,OCCN1C[C@]2(C)CCC[C@]3(C1)[C@@H]2CC(=O)[C@]12[C@H]3C[C@H](CC1)C(=C)[C@H]2O,C22H33NO3,359.5,26,0,0.86,2,4,2,105.38,60.77,2.96,1.64,2.01,2.53,3.07,2.44,-2.97,3.85E-01,1.07E-03,Soluble,-2.53,1.06E+00,2.96E-03,Soluble,-3.52,1.08E-01,3.00E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-7.33,0,0,0,0,0,0.55,0,1,1,5.47,
aconitum heterophyllum,Atisenol,C=C1[C@H]2CC[C@@]3([C@H]1O)[C@H](C2)[C@@]12CCC[C@@]([C@@H]2CC3)(C(=O)OC1)C,C20H28O3,316.43,23,0,0.85,0,3,1,88.88,46.53,2.96,1.64,3.46,2.53,3.07,2.44,-2.97,3.85E-01,1.07E-03,Soluble,-2.53,1.06E+00,2.96E-03,Soluble,-3.52,1.08E-01,3.00E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-7.33,0,0,0,0,0,0.55,0,1,1,5.47,
aconitum heterophyllum,Dihydroatisine,OCCN1C[C@]2(C)CCC[C@]3(C1)[C@@H]2CC[C@]12[C@H]3C[C@H](CC1)C(=C)[C@H]2O,C22H35NO2,345.52,25,0,0.91,2,3,2,105.18,43.7,3.48,3.11,2.83,3.49,3.38,3.26,-3.81,5.36E-02,1.55E-04,Soluble,-3.7,6.96E-02,2.01E-04,Soluble,-3.64,7.84E-02,2.27E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-6.2,0,0,0,0,0,0.55,0,1,0,5.37,
aconitum heterophyllum,Heterophylloidine,CC(=O)O[C@H]1C[C@@]2(C)CN([C@H]3[C@@]4(C1)[C@@H]2C(=O)C[C@@]12[C@H]4C[C@H](C(=O)[C@H]31)C(=C)C2)C,C23H29NO4,383.48,28,0,0.78,2,5,0,107.23,63.68,0,1.3,2.01,2.54,3.05,1.78,-2.9,4.78E-01,1.25E-03,Soluble,-2.24,2.22E+00,5.79E-03,Soluble,-3.73,7.14E-02,1.86E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-7.72,0,0,0,0,0,0.55,0,1,1,5.78,
aconitum heterophyllum,Hetidine,CN1C[C@@]2(C)[C@H](O)[C@@H](C[C@]34[C@H]1[C@H]1C(=O)[C@H]5C[C@@H]4[C@@]1(CC(=O)[C@H]23)CC5=C)O,C21H27NO4,357.44,26,0,0.81,0,5,2,98.66,77.84,0,-0.25,0.41,1.39,1.68,0.65,-1.9,4.51E+00,1.26E-02,Very soluble,-0.93,4.23E+01,1.18E-01,Very soluble,-2.29,1.82E+00,5.09E-03,Soluble,High,No,Yes,No,No,No,No,No,-8.66,0,0,0,0,0,0.55,0,1,1,5.82,
aconitum heterophyllum,Isoatisine,C=C1[C@@H]2CC[C@]3([C@@H]1O)[C@H](C2)[C@@]12CCC[C@@]([C@H]2CC3)([C@@H]2N(C1)COC2)C,C22H33NO2,343.5,24,6,0.45,2,3,1,99.91,41.57,0,2.38,1.88,2.82,2.79,1.97,-3.39,1.31E-01,4.06E-04,Soluble,-2.89,4.12E-01,1.28E-03,Soluble,-4.52,9.83E-03,3.05E-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,0,5.35,
